,dataset,ft_regime,optim,lr_scheduler,acc_val_first_epoch,acc_val_last_epoch,loss_val_first_epoch,loss_val_last_epoch,acc_test,loss_test
0,Cars,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.710073709487915,0.8845208883285522,0.7693370580673218,0.4122737646102905,0.8943489193916321,0.407490074634552
1,DTD,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.5809312462806702,0.8403547406196594,1.5910521745681765,0.8224816918373108,0.8447893857955933,0.8115624785423279
2,EuroSAT,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9645370244979858,0.9972222447395324,0.1138738766312599,0.0107951061800122,0.9973611235618592,0.0103425635024905
3,GTSRB,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9906156063079834,0.9992492198944092,0.0525539778172969,0.0047724307514727,0.9996246099472046,0.00476640695706
4,MNIST,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.989799976348877,0.9968000054359436,0.0518661923706531,0.0246694330126047,0.9955999851226808,0.027022274211049
5,RESISC45,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9179894328117372,0.9650793671607972,0.2801041603088379,0.1411231756210327,0.9693121910095216,0.138773113489151
6,SVHN,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9557999968528748,0.9679999947547911,0.1733241081237793,0.1336595267057418,0.9697999954223632,0.1340226978063583
7,SUN397,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.7375314831733704,0.7863979935646057,0.8411107659339905,0.848815381526947,0.7833753228187561,0.8411377668380737
8,STL10,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9940000176429749,0.984000027179718,0.0298062898218631,0.0421850532293319,0.984000027179718,0.0348020531237125
9,OxfordIIITPet,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8913043737411499,0.94021737575531,0.3240053057670593,0.266211450099945,0.94021737575531,0.2696810960769653
10,Flowers102,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.6764705777168274,0.9411764740943908,1.3128831386566162,0.1953474283218383,0.9411764740943908,0.1878876835107803
11,CIFAR100,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8393999934196472,0.9097999930381776,0.5244673490524292,0.369965523481369,0.9079999923706056,0.3673753440380096
12,PCAM,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.973800003528595,0.984000027179718,0.0754408687353134,0.0475459396839141,0.984000027179718,0.0513717234134674
13,FER2013,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.6693379878997803,0.7567944526672363,0.9085281491279602,1.0974462032318115,0.7550522685050964,1.1020060777664185
14,CIFAR10,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9649999737739564,0.9873999953269958,0.1017293408513069,0.0549357421696186,0.9851999878883362,0.0566533282399177
15,Food101,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.8661999702453613,0.8956000208854675,0.4855506718158722,0.4471318423748016,0.8974000215530396,0.4330309927463531
16,FashionMNIST,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.9282000064849854,0.9531999826431274,0.1933715641498565,0.1385939866304397,0.9559999704360962,0.134297639131546
17,RenderedSST2,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.6878612637519836,0.7586705088615417,0.5940300822257996,1.070143461227417,0.7572254538536072,1.0396672487258911
18,EMNIST,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.996399998664856,0.998199999332428,0.0314398929476738,0.0252387654036283,0.9980000257492064,0.0258074942976236
19,KMNIST,ta,adamw_wd_0.1,cosine_annealing_warmup_steps_200,0.98580002784729,0.996399998664856,0.0537709109485149,0.0135394623503088,0.9965999722480774,0.0130017166957259
