,dataset,ft_regime,optim,lr_scheduler,acc_val_first_epoch,acc_val_last_epoch,loss_val_first_epoch,loss_val_last_epoch,acc_test,loss_test
0,Cars,atm,adam_wd_0.0,none,0.7800982594490051,0.7800982594490051,0.6255401372909546,0.6255401372909546,0.7714987993240356,0.6300532221794128
1,DTD,atm,adam_wd_0.0,none,0.7937915921211243,0.7937915921211243,0.7847116589546204,0.7847116589546204,0.8004434704780579,0.754858672618866
2,EuroSAT,atm,adam_wd_0.0,none,0.9803703427314758,0.9803703427314758,0.058683194220066,0.058683194220066,0.9802314639091492,0.0583906099200248
3,GTSRB,atm,adam_wd_0.0,none,0.990240216255188,0.990240216255188,0.0439279153943061,0.0439279153943061,0.9921171069145204,0.0383040904998779
4,MNIST,atm,adam_wd_0.0,none,0.9908000230789183,0.9908000230789183,0.0533854253590106,0.0533854253590106,0.9896000027656556,0.0523804984986782
5,RESISC45,atm,adam_wd_0.0,none,0.9312169551849364,0.9312169551849364,0.2233660668134689,0.2233660668134689,0.9301587343215942,0.2133461236953735
6,SVHN,atm,adam_wd_0.0,none,0.9516000151634216,0.9516000151634216,0.1820461004972458,0.1820461004972458,0.9508000016212464,0.1822441071271896
7,SUN397,atm,adam_wd_0.0,none,0.7561712861061096,0.7561712861061096,0.7949755787849426,0.7949755787849426,0.750629723072052,0.7997435927391052
8,STL10,atm,adam_wd_0.0,none,0.972000002861023,0.972000002861023,0.0762475878000259,0.0762475878000259,0.9819999933242798,0.0577150769531726
9,OxfordIIITPet,atm,adam_wd_0.0,none,0.8994565010070801,0.8994565010070801,0.2809312045574188,0.2809312045574188,0.907608687877655,0.2732214331626892
10,Flowers102,atm,adam_wd_0.0,none,0.813725471496582,0.813725471496582,0.6022127866744995,0.6022127866744995,0.7941176295280457,0.6263500452041626
11,CIFAR100,atm,adam_wd_0.0,none,0.8583999872207642,0.8583999872207642,0.4667539596557617,0.4667539596557617,0.8579999804496765,0.4631980359554291
12,PCAM,atm,adam_wd_0.0,none,0.975000023841858,0.975000023841858,0.0764256417751312,0.0764256417751312,0.973800003528595,0.077047012746334
13,FER2013,atm,adam_wd_0.0,none,0.6902438998222351,0.6902438998222351,0.8542711138725281,0.8542711138725281,0.6885017156600952,0.8541062474250793
14,CIFAR10,atm,adam_wd_0.0,none,0.9588000178337096,0.9588000178337096,0.1260856688022613,0.1260856688022613,0.9575999975204468,0.1299249976873397
15,Food101,atm,adam_wd_0.0,none,0.8575999736785889,0.8575999736785889,0.5000936388969421,0.5000936388969421,0.8587999939918518,0.5048326253890991
16,FashionMNIST,atm,adam_wd_0.0,none,0.925599992275238,0.925599992275238,0.189101755619049,0.189101755619049,0.9297999739646912,0.183804765343666
17,RenderedSST2,atm,adam_wd_0.0,none,0.7601156234741211,0.7601156234741211,0.5120143890380859,0.5120143890380859,0.7572254538536072,0.5245767831802368
18,EMNIST,atm,adam_wd_0.0,none,0.9965999722480774,0.9965999722480774,0.0323854498565197,0.0323854498565197,0.996399998664856,0.0326516218483448
19,KMNIST,atm,adam_wd_0.0,none,0.9878000020980836,0.9878000020980836,0.0424363501369953,0.0424363501369953,0.9869999885559082,0.0439440608024597
