,dataset,ft_regime,optim,lr_scheduler,acc_val_first_epoch,acc_val_last_epoch,loss_val_first_epoch,loss_val_last_epoch,acc_test,loss_test
0,Cars,ta,adam_wd_0.0,none,0.7788698077201843,0.8562653660774231,0.6231215596199036,0.5839213728904724,0.8587223291397095,0.5833390355110168
1,DTD,ta,adam_wd_0.0,none,0.7782704830169678,0.8514412641525269,0.7865288257598877,0.8815016150474548,0.8492239713668823,0.85193932056427
2,EuroSAT,ta,adam_wd_0.0,none,0.9844907522201538,0.9880555272102356,0.0502888150513172,0.046899426728487,0.9877314567565918,0.0477806814014911
3,GTSRB,ta,adam_wd_0.0,none,0.9939939975738524,0.9984984993934632,0.0287152118980884,0.0066981567069888,0.9977477192878724,0.0068873092532157
4,MNIST,ta,adam_wd_0.0,none,0.9896000027656556,0.9936000108718872,0.0509228780865669,0.0363090820610523,0.9941999912261964,0.0366361327469348
5,RESISC45,ta,adam_wd_0.0,none,0.929100513458252,0.956084668636322,0.2273410260677337,0.1971597522497177,0.9608465433120728,0.1840796470642089
6,SVHN,ta,adam_wd_0.0,none,0.948199987411499,0.9611999988555908,0.1860623657703399,0.1572712510824203,0.9617999792099,0.1596337109804153
7,SUN397,ta,adam_wd_0.0,none,0.7526448369026184,0.7687657475471497,0.7958508133888245,1.0262539386749268,0.7687657475471497,1.037493109703064
8,STL10,ta,adam_wd_0.0,none,0.9700000286102296,0.9959999918937684,0.0776763632893562,0.0144660482183098,0.9900000095367432,0.0236541908234357
9,OxfordIIITPet,ta,adam_wd_0.0,none,0.8994565010070801,0.929347813129425,0.2819887101650238,0.2958342730998993,0.926630437374115,0.368560791015625
10,Flowers102,ta,adam_wd_0.0,none,0.8039215803146362,0.970588207244873,0.5968586206436157,0.1365161836147308,0.9607843160629272,0.1462105363607406
11,CIFAR100,ta,adam_wd_0.0,none,0.857200026512146,0.871999979019165,0.4828059673309326,0.538438081741333,0.871999979019165,0.5402854084968567
12,PCAM,ta,adam_wd_0.0,none,0.9718000292778016,0.9800000190734864,0.0838877186179161,0.0666354447603225,0.9764000177383424,0.0680827051401138
13,FER2013,ta,adam_wd_0.0,none,0.6832752823829651,0.7331010699272156,0.8679702877998352,1.1758365631103516,0.7351916432380676,1.1827623844146729
14,CIFAR10,ta,adam_wd_0.0,none,0.9631999731063844,0.9693999886512756,0.1081186309456825,0.1079990714788436,0.9706000089645386,0.1074349731206893
15,Food101,ta,adam_wd_0.0,none,0.8682000041007996,0.8679999709129333,0.4775094091892242,0.5498323440551758,0.868399977684021,0.5377182364463806
16,FashionMNIST,ta,adam_wd_0.0,none,0.9218000173568726,0.9480000138282776,0.1968621611595153,0.1683006137609481,0.9480000138282776,0.1674767881631851
17,RenderedSST2,ta,adam_wd_0.0,none,0.7572254538536072,0.7485548853874207,0.5115970969200134,1.288674235343933,0.7687861323356628,1.2626714706420898
18,EMNIST,ta,adam_wd_0.0,none,0.9947999715805054,0.9965999722480774,0.0349412783980369,0.0277963802218437,0.996999979019165,0.0280877742916345
19,KMNIST,ta,adam_wd_0.0,none,0.9896000027656556,0.9923999905586244,0.0388499423861503,0.025202365592122,0.99099999666214,0.0276283659040927
