trainer/global_step,_step,_runtime,lr-SGD,_timestamp,epoch,loss/train_step,acc/val,loss/val,acc/train_epoch,loss/train_epoch,acc/test,loss/test
49,0,43.616128547,1e-05,1736029528.0092373,,,,,,,,
49,1,43.725068589,,1736029528.1182098,0.0,0.7423842549324036,,,,,,
99,2,49.78129654,1e-05,1736029534.1741576,,,,,,,,
99,3,49.891273509,,1736029534.284404,0.0,0.6482018232345581,,,,,,
149,4,55.963475007,1e-05,1736029540.3538673,,,,,,,,
149,5,56.073477942,,1736029540.4652734,0.0,0.6677148342132568,,,,,,
194,6,65.157736343,,1736029549.550745,0.0,,0.6083815097808838,0.6573078632354736,,,,
194,7,86.710351095,,1736029571.0766196,0.0,,,,0.6164097785949707,0.656268835067749,,
195,8,93.068654622,,1736029577.4617853,1.0,,,,,,0.6184971332550049,0.6621459126472473
