trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-Adam,loss/train_step,acc/test,loss/test
695,73,,810.485902744,,23.0,1736383150.3496158,1.0,6.033045792719349e-05,,,,
699,74,,812.978162665,,,1736383152.8413157,,,1e-05,,,
699,75,,813.093929478,,24.0,1736383152.95774,,,,5.879244417883456e-05,,
724,76,0.9215686321258545,817.70736695,0.24592243134975433,24.0,1736383157.5711195,,,,,,
724,77,,847.920891332,,24.0,1736383187.784602,1.0,5.704215800506063e-05,,,,
749,78,,853.111725686,,,1736383192.9754326,,,1e-05,,,
749,79,,853.225985424,,25.0,1736383193.0894876,,,,5.017333023715764e-05,,
753,80,0.9313725233078003,855.310769362,0.24168731272220612,25.0,1736383195.1745064,,,,,,
753,81,,886.326704376,,25.0,1736383226.190383,1.0,5.247984881862067e-05,,,,
782,82,0.9509803652763367,893.668382106,0.2283671647310257,26.0,1736383233.5321224,,,,,,
782,83,,925.1370722,,26.0,1736383265.0008588,1.0,5.149493517819792e-05,,,,
799,84,,929.145902238,,,1736383269.0095885,,,1e-05,,,
799,85,,929.259873776,,27.0,1736383269.123696,,,,5.26266339875292e-05,,
811,86,0.9411764740943909,932.325345957,0.23272734880447388,27.0,1736383272.1890936,,,,,,
811,87,,964.05575428,,27.0,1736383303.9195065,1.0,4.7126944991759956e-05,,,,
840,88,0.9313725233078003,971.289639062,0.23403330147266388,28.0,1736383311.1533806,,,,,,
840,89,,1003.458245282,,28.0,1736383343.3218675,1.0,4.644244472729042e-05,,,,
849,90,,1006.453781525,,,1736383346.317167,,,1e-05,,,
849,91,,1006.566831503,,29.0,1736383346.430629,,,,6.611482240259647e-05,,
869,92,0.9411764740943909,1010.549389287,0.2769375145435333,29.0,1736383350.4131143,,,,,,
869,93,,1041.005896901,,29.0,1736383380.8695507,1.0,4.494999666349031e-05,,,,
898,94,0.9411764740943909,1048.150039336,0.23989525437355042,30.0,1736383388.013702,,,,,,
898,95,,1048.15426627,,30.0,1736383388.0181644,1.0,4.5475320803234354e-05,,,,
899,96,,1050.076907569,,,1736383389.9391963,,,1e-05,,,
899,97,,1050.212529021,,31.0,1736383390.0761688,,,,3.199496495653875e-05,,
927,98,0.9313725233078003,1055.235504261,0.23134538531303406,31.0,1736383395.09926,,,,,,
927,99,,1086.623632166,,31.0,1736383426.487427,1.0,4.028910552733578e-05,,,,
949,100,,1091.257238616,,,1736383431.120831,,,1e-05,,,
949,101,,1091.371441658,,32.0,1736383431.2348907,,,,3.761175321415067e-05,,
956,102,0.9313725233078003,1093.804276653,0.24256902933120728,32.0,1736383433.668027,,,,,,
956,103,,1125.974342564,,32.0,1736383465.838113,1.0,3.937218207283877e-05,,,,
985,104,0.9411764740943909,1133.246747435,0.2160165011882782,33.0,1736383473.1104572,,,,,,
985,105,,1163.517680893,,33.0,1736383503.3814394,1.0,3.5786066291620955e-05,,,,
999,106,,1167.271232119,,,1736383507.1348832,,,1e-05,,,
999,107,,1167.385085003,,34.0,1736383507.2489522,,,,4.6387427573790774e-05,,
1014,108,0.9411764740943909,1170.795569383,0.224346324801445,34.0,1736383510.6592984,,,,,,
1014,109,,1200.58058501,,34.0,1736383540.4443526,1.0,3.555200237315148e-05,,,,
1043,110,0.9313725233078003,1207.842758038,0.22038862109184265,35.0,1736383547.7065272,,,,,,
1043,111,,1238.147332625,,35.0,1736383578.0110373,1.0,3.3966243790928274e-05,,,,
1049,112,,1240.921363205,,,1736383580.785065,,,1e-05,,,
1049,113,,1241.035287278,,36.0,1736383580.8991585,,,,4.6321754780365154e-05,,
1072,114,0.9411764740943909,1245.396011852,0.2068527191877365,36.0,1736383585.25976,,,,,,
1072,115,,1275.649660041,,36.0,1736383615.5134068,1.0,3.2571289921179414e-05,,,,
1099,116,,1280.902203276,,,1736383620.765887,,,1e-05,,,
1099,117,,1281.016086129,,37.0,1736383620.879959,,,,2.4511229639756493e-05,,
1101,118,0.9411764740943909,1282.865744793,0.24237091839313507,37.0,1736383622.7294955,,,,,,
1101,119,,1312.922417751,,37.0,1736383652.7861512,1.0,3.140574699500576e-05,,,,
1130,120,0.9313725233078003,1320.07254847,0.23959636688232422,38.0,1736383659.9362276,,,,,,
1130,121,,1348.772321781,,38.0,1736383688.6360674,1.0,2.939288788184058e-05,,,,
1149,122,,1353.272096633,,,1736383693.1357553,,,1e-05,,,
1149,123,,1353.385971877,,39.0,1736383693.2498033,,,,2.1519861547858454e-05,,
1159,124,0.9411764740943909,1356.207489811,0.24003548920154572,39.0,1736383696.071257,,,,,,
1159,125,,1385.561625635,,39.0,1736383725.4254105,1.0,2.8765636670868844e-05,,,,
1188,126,0.9509803652763367,1392.949752889,0.23651425540447235,40.0,1736383732.8134968,,,,,,
1188,127,,1424.269383716,,40.0,1736383764.133127,1.0,2.7204145226278342e-05,,,,
1199,128,,1427.641655569,,,1736383767.5053601,,,1e-05,,,
1199,129,,1427.756054512,,41.0,1736383767.6194296,,,,1.701647306617815e-05,,
1217,130,0.9313725233078003,1431.50762161,0.23238921165466309,41.0,1736383771.3713706,,,,,,
1217,131,,1461.275400545,,41.0,1736383801.1391888,1.0,2.5655932404333726e-05,,,,
1246,132,0.9411764740943909,1468.51004739,0.23069050908088684,42.0,1736383808.3737488,,,,,,
1246,133,,1498.669576392,,42.0,1736383838.5333395,1.0,2.540338391554542e-05,,,,
1249,134,,1500.948691344,,,1736383840.8112404,,,1e-05,,,
1249,135,,1501.074339437,,43.0,1736383840.9374213,,,,3.8841117202537134e-05,,
1275,136,0.9411764740943909,1505.801209928,0.23489759862422943,43.0,1736383845.6649504,,,,,,
1275,137,,1536.492396926,,43.0,1736383876.3561597,1.0,2.4068904167506844e-05,,,,
1299,138,,1541.425638498,,,1736383881.2893226,,,1e-05,,,
1299,139,,1541.540574678,,44.0,1736383881.4041717,,,,1.2490682820498478e-05,,
1304,140,0.9411764740943909,1543.726287782,0.25487595796585083,44.0,1736383883.5900104,,,,,,
1304,141,,1574.178813032,,44.0,1736383914.0425277,1.0,2.345987559237983e-05,,,,
1333,142,0.9411764740943909,1581.287078996,0.20978130400180817,45.0,1736383921.1508029,,,,,,
1333,143,,1611.930181952,,45.0,1736383951.7939827,1.0,2.331373434572015e-05,,,,
1349,144,,1615.751215482,,,1736383955.614555,,,1e-05,,,
1349,145,,1615.864724045,,46.0,1736383955.7285998,,,,2.1997351723257452e-05,,
1362,146,0.9411764740943909,1619.042869622,0.21113848686218262,46.0,1736383958.906609,,,,,,
1362,147,,1648.895476882,,46.0,1736383988.7591946,1.0,2.3308752133743837e-05,,,,
1391,148,0.9313725233078003,1656.24860541,0.24813564121723175,47.0,1736383996.1123602,,,,,,
1391,149,,1686.624526566,,47.0,1736384026.488314,1.0,2.1924086468061432e-05,,,,
1399,150,,1689.513049141,,,1736384029.376672,,,1e-05,,,
1399,151,,1689.626477498,,48.0,1736384029.490313,,,,1.4665709386463277e-05,,
1420,152,0.9411764740943909,1693.772539569,0.22405888140201569,48.0,1736384033.6363263,,,,,,
1420,153,,1724.535236513,,48.0,1736384064.3989587,1.0,2.1651689166901633e-05,,,,
1449,154,,1730.140549122,,,1736384070.0038443,,,1e-05,,,
1449,155,,1730.219448115,,49.0,1736384070.083236,,,,3.6442677810555324e-05,,
1449,156,0.9411764740943909,1731.856064221,0.22467999160289764,49.0,1736384071.7198215,,,,,,
1449,157,,1762.038315739,,49.0,1736384101.9020624,1.0,2.038354068645276e-05,,,,
1478,158,0.9411764740943909,1769.299038512,0.2582196593284607,50.0,1736384109.1628091,,,,,,
1478,159,,1798.964375354,,50.0,1736384138.8280623,1.0,2.0376941392896697e-05,,,,
1499,160,,1803.499636148,,,1736384143.363284,,,1e-05,,,
1499,161,,1803.613034499,,51.0,1736384143.4768693,,,,2.368366767768748e-05,,
1507,162,0.9411764740943909,1806.158957631,0.21280911564826965,51.0,1736384146.022693,,,,,,
1507,163,,1835.84958367,,51.0,1736384175.7133083,1.0,1.8880538846133277e-05,,,,
1536,164,0.9411764740943909,1843.172972717,0.23390741646289825,52.0,1736384183.036708,,,,,,
1536,165,,1873.655317076,,52.0,1736384213.5190854,1.0,1.8429671399644576e-05,,,,
1549,166,,1877.205360955,,,1736384217.0690863,,,1e-05,,,
1549,167,,1877.319224463,,53.0,1736384217.183081,,,,2.3997305106604472e-05,,
1565,168,0.9411764740943909,1880.857116696,0.23529303073883057,53.0,1736384220.7208724,,,,,,
1565,169,,1912.177751427,,53.0,1736384252.0414646,1.0,1.8164046196034178e-05,,,,
1594,170,0.9411764740943909,1919.467724538,0.2263253927230835,54.0,1736384259.3314052,,,,,,
1594,171,,1950.184590246,,54.0,1736384290.0483732,1.0,1.7737411326379515e-05,,,,
1599,172,,1952.960697689,,,1736384292.824419,,,1e-05,,,
1599,173,,1953.074570108,,55.0,1736384292.9384363,,,,2.2012090994394384e-05,,
1623,174,0.9411764740943909,1957.550817673,0.25367236137390137,55.0,1736384297.414552,,,,,,
1623,175,,1957.555017081,,55.0,1736384297.4189117,1.0,1.7800422938307747e-05,,,,
1649,176,,1962.60234859,,,1736384302.4660516,,,1e-05,,,
1649,177,,1962.716252189,,56.0,1736384302.580036,,,,1.77244764927309e-05,,
1652,178,0.9215686321258545,1964.684658706,0.23390309512615204,56.0,1736384304.5484014,,,,,,
1652,179,,1994.730076265,,56.0,1736384334.5937421,1.0,1.7345626474707387e-05,,,,
1681,180,0.9313725233078003,2002.100713,0.22716766595840454,57.0,1736384341.9644752,,,,,,
1681,181,,2031.181402716,,57.0,1736384371.0450857,1.0,1.6589145161560737e-05,,,,
1699,182,,2035.298408637,,,1736384375.1616974,,,1e-05,,,
1699,183,,2035.412108126,,58.0,1736384375.2756877,,,,1.9814209736068733e-05,,
1710,184,0.9313725233078003,2038.321134863,0.21322999894618988,58.0,1736384378.1849146,,,,,,
1710,185,,2038.325593437,,58.0,1736384378.1894708,1.0,1.8434575395076536e-05,,,,
1739,186,0.9313725233078003,2045.449957362,0.23156867921352386,59.0,1736384385.3137012,,,,,,
1739,187,,2075.05724497,,59.0,1736384414.9210246,1.0,1.5218074622680433e-05,,,,
1749,188,,2078.278657632,,,1736384418.142333,,,1e-05,,,
1749,189,,2078.392723633,,60.0,1736384418.2565665,,,,1.852880814112723e-05,,
1768,190,0.9313725233078003,2082.292387285,0.2380184680223465,60.0,1736384422.156162,,,,,,
1768,191,,2082.296527884,,60.0,1736384422.1604426,1.0,1.576159047544934e-05,,,,
1797,192,0.9411764740943909,2089.467733147,0.3008972406387329,61.0,1736384429.331507,,,,,,
1797,193,,2089.47201425,,61.0,1736384429.3358946,1.0,3.416341496631503e-05,,,,
1799,194,,2091.691346974,,,1736384431.5522082,,,1e-05,,,
1799,195,,2091.815472158,,62.0,1736384431.6784697,,,,1.9400526070967317e-05,,
1826,196,0.9313725233078003,2096.748645077,0.2622838616371155,62.0,1736384436.6123638,,,,,,
1826,197,,2096.753410727,,62.0,1736384436.6172829,1.0,2.222826333309058e-05,,,,
1849,198,,2101.520375077,,,1736384441.3836875,,,1e-05,,,
1849,199,,2101.633955121,,63.0,1736384441.4977717,,,,1.90688697330188e-05,,
1855,200,0.9411764740943909,2103.998574268,0.25922679901123047,63.0,1736384443.8623238,,,,,,
1855,201,,2104.002806619,,63.0,1736384443.8667164,1.0,1.5573705240967683e-05,,,,
1884,202,0.9313725233078003,2111.200134387,0.26118484139442444,64.0,1736384451.0638864,,,,,,
1884,203,,2111.204891091,,64.0,1736384451.0687373,1.0,1.5346344298450276e-05,,,,
1899,204,,2114.944487872,,,1736384454.808156,,,1e-05,,,
1899,205,,2115.058428664,,65.0,1736384454.9222085,,,,1.2937574865645729e-05,,
1913,206,0.9313725233078003,2118.323666013,0.2544980049133301,65.0,1736384458.187371,,,,,,
1913,207,,2147.056639555,,65.0,1736384486.9204307,1.0,1.4166955224936828e-05,,,,
1942,208,0.9411764740943909,2154.200355554,0.21092239022254944,66.0,1736384494.0641031,,,,,,
1942,209,,2154.204805454,,66.0,1736384494.0686631,1.0,1.5259412975865416e-05,,,,
1949,210,,2157.018095464,,,1736384496.8818638,,,1e-05,,,
1949,211,,2157.132005513,,67.0,1736384496.995871,,,,1.8331606042920612e-05,,
1971,212,0.9411764740943909,2161.391423356,0.23965808749198914,67.0,1736384501.255198,,,,,,
1971,213,,2191.154357439,,67.0,1736384531.018093,1.0,1.3592204595624935e-05,,,,
1999,214,,2196.518819883,,,1736384536.3824904,,,1e-05,,,
1999,215,,2196.632713777,,68.0,1736384536.4965637,,,,1.6919724657782353e-05,,
2000,216,0.9313725233078003,2198.347616684,0.22693218290805817,68.0,1736384538.2113836,,,,,,
2000,217,,2198.351892507,,68.0,1736384538.2157805,1.0,1.3638015843753237e-05,,,,
2029,218,0.9313725233078003,2205.570189603,0.24667510390281677,69.0,1736384545.4339294,,,,,,
2029,219,,2236.582371481,,69.0,1736384576.4460602,1.0,1.2560682989715133e-05,,,,
2049,220,,2241.012702426,,,1736384580.8763914,,,1e-05,,,
2049,221,,2241.126565977,,70.0,1736384580.9904065,,,,1.076963781088125e-05,,
2058,222,0.9313725233078003,2243.83750225,0.24273693561553955,70.0,1736384583.7012656,,,,,,
2058,223,,2275.281927459,,70.0,1736384615.1457148,1.0,1.1772235666285269e-05,,,,
2087,224,0.9411764740943909,2282.372545738,0.22521831095218658,71.0,1736384622.2363257,,,,,,
2087,225,,2282.376658707,,71.0,1736384622.2405584,1.0,1.2429914022504818e-05,,,,
2099,226,,2285.738549752,,,1736384625.602225,,,1e-05,,,
2099,227,,2285.852672624,,72.0,1736384625.716262,,,,1.1864855878229719e-05,,
2116,228,0.9215686321258545,2289.5085559,0.2455013543367386,72.0,1736384629.372328,,,,,,
2116,229,,2320.04669664,,72.0,1736384659.910455,1.0,1.1716238986991812e-05,,,,
2145,230,0.9411764740943909,2327.262590395,0.22676372528076172,73.0,1736384667.1263103,,,,,,
2145,231,,2327.267110356,,73.0,1736384667.130996,1.0,1.1758859727706295e-05,,,,
2149,232,,2329.787580342,,,1736384669.6512463,,,1e-05,,,
2149,233,,2329.900959424,,74.0,1736384669.7647886,,,,1.1943044228246436e-05,,
2174,234,0.9313725233078003,2334.524055318,0.22662241756916046,74.0,1736384674.3878038,,,,,,
2174,235,,2334.528237476,,74.0,1736384674.3921278,1.0,1.2124191016482655e-05,,,,
2199,236,,2339.52267152,,,1736384679.3863528,,,1e-05,,,
2199,237,,2339.636782444,,75.0,1736384679.5006182,,,,9.212511940859258e-06,,
2203,238,0.9313725233078003,2341.661944918,0.23624616861343384,75.0,1736384681.525666,,,,,,
2203,239,,2372.805006574,,75.0,1736384712.6687045,1.0,1.0543444659560919e-05,,,,
2232,240,0.9313725233078003,2380.083850193,0.24190273880958557,76.0,1736384719.9475687,,,,,,
2232,241,,2380.088059131,,76.0,1736384719.9519584,1.0,1.0721997568907682e-05,,,,
2249,242,,2384.092725593,,,1736384723.9563797,,,1e-05,,,
2249,243,,2384.206823466,,77.0,1736384724.0706263,,,,6.444696737162303e-06,,
2261,244,0.9215686321258545,2387.289903592,0.24016675353050232,77.0,1736384727.153662,,,,,,
2261,245,,2417.958504299,,77.0,1736384757.8222933,1.0,1.0389413546363357e-05,,,,
2290,246,0.9313725233078003,2425.128858606,0.2354176789522171,78.0,1736384764.9925904,,,,,,
2290,247,,2425.133210202,,78.0,1736384764.9970899,1.0,1.091246485884767e-05,,,,
2299,248,,2428.21005411,,,1736384768.073728,,,1e-05,,,
2299,249,,2428.324386657,,79.0,1736384768.1882226,,,,5.554362815018976e-06,,
2319,250,0.9411764740943909,2432.377588489,0.23260000348091125,79.0,1736384772.2413154,,,,,,
2319,251,,2461.263358055,,79.0,1736384801.1271045,1.0,9.961185241991188e-06,,,,
2348,252,0.9411764740943909,2468.385219168,0.22084103524684906,80.0,1736384808.248967,,,,,,
2348,253,,2468.389669599,,80.0,1736384808.2535338,1.0,1.0041030691354536e-05,,,,
2349,254,,2470.369830315,,,1736384810.2326715,,,1e-05,,,
2349,255,,2470.503530594,,81.0,1736384810.3669488,,,,1.170829727925593e-05,,
2377,256,0.9411764740943909,2475.552987841,0.20028890669345856,81.0,1736384815.4167213,,,,,,
2377,257,,2506.042374143,,81.0,1736384845.9061623,1.0,9.84237249213038e-06,,,,
2399,258,,2510.671374412,,,1736384850.5350628,,,1e-05,,,
2399,259,,2510.785327732,,82.0,1736384850.6491294,,,,1.0639295396686066e-05,,
2406,260,0.9313725233078003,2513.242591992,0.21845780313014984,82.0,1736384853.106347,,,,,,
2406,261,,2543.078280189,,82.0,1736384882.942085,1.0,9.646811122365762e-06,,,,
2435,262,0.9411764740943909,2550.273879496,0.2394794374704361,83.0,1736384890.137638,,,,,,
2435,263,,2578.940029343,,83.0,1736384918.8037932,1.0,9.413340194441844e-06,,,,
2449,264,,2582.674612615,,,1736384922.5382993,,,1e-05,,,
2449,265,,2582.788635219,,84.0,1736384922.6524599,,,,1.0292784281773493e-05,,
2464,266,0.9313725233078003,2586.170244762,0.23375388979911804,84.0,1736384926.0339952,,,,,,
2464,267,,2614.628072266,,84.0,1736384954.4917922,1.0,8.71006432134891e-06,,,,
2493,268,0.9411764740943909,2621.903688805,0.2126111388206482,85.0,1736384961.7674098,,,,,,
2493,269,,2652.906877877,,85.0,1736384992.7706077,1.0,8.608899406681303e-06,,,,
2499,270,,2655.551518924,,,1736384995.4152195,,,1e-05,,,
2499,271,,2655.665390279,,86.0,1736384995.5292194,,,,1.0747322448878549e-05,,
2522,272,0.9411764740943909,2660.066149138,0.2326984852552414,86.0,1736384999.9299014,,,,,,
2522,273,,2660.070447955,,86.0,1736384999.9343262,1.0,8.677974619786255e-06,,,,
2549,274,,2665.286434836,,,1736385005.1501565,,,1e-05,,,
2549,275,,2665.400141723,,87.0,1736385005.263986,,,,5.722000423702411e-06,,
2551,276,0.9411764740943909,2667.248461656,0.22142665088176727,87.0,1736385007.1122212,,,,,,
2551,277,,2697.904360311,,87.0,1736385037.7681031,1.0,8.464112397632562e-06,,,,
2580,278,0.9313725233078003,2705.190593134,0.2592281401157379,88.0,1736385045.0543637,,,,,,
2580,279,,2705.194891862,,88.0,1736385045.0587564,1.0,8.732627065910492e-06,,,,
2599,280,,2709.505286826,,,1736385049.3690166,,,1e-05,,,
2599,281,,2709.619109421,,89.0,1736385049.4829662,,,,1.3928427506471053e-05,,
2609,282,0.9313725233078003,2712.414606685,0.22689451277256012,89.0,1736385052.2783837,,,,,,
2609,283,,2742.106768438,,89.0,1736385081.970506,1.0,8.218687980843242e-06,,,,
2638,284,0.9411764740943909,2749.340301192,0.2262050211429596,90.0,1736385089.204048,,,,,,
2638,285,,2779.734254394,,90.0,1736385119.597983,1.0,7.973789251991548e-06,,,,
2649,286,,2783.189700202,,,1736385123.0533834,,,1e-05,,,
2649,287,,2783.303874289,,91.0,1736385123.1675286,,,,4.693840764957713e-06,,
2667,288,0.9411764740943909,2787.092976907,0.24469250440597534,91.0,1736385126.9567025,,,,,,
2667,289,,2817.350398869,,91.0,1736385157.2141662,1.0,7.597082912980113e-06,,,,
2696,290,0.9313725233078003,2824.661144398,0.2333889603614807,92.0,1736385164.5248919,,,,,,
2696,291,,2824.665901194,,92.0,1736385164.529752,1.0,7.670845661778003e-06,,,,
2699,292,,2826.986563425,,,1736385166.8490212,,,1e-05,,,
2699,293,,2827.108646228,,93.0,1736385166.972242,,,,6.049824605725007e-06,,
2725,294,0.9215686321258545,2831.867860147,0.22375936806201935,93.0,1736385171.7316039,,,,,,
2725,295,,2831.872093633,,93.0,1736385171.7359774,1.0,7.639790965185966e-06,,,,
2749,296,,2836.714960639,,,1736385176.578636,,,1e-05,,,
2749,297,,2836.828824566,,94.0,1736385176.692643,,,,6.355263849400217e-06,,
2754,298,0.9313725233078003,2839.034362235,0.2388726770877838,94.0,1736385178.898119,,,,,,
2754,299,,2869.060580766,,94.0,1736385208.9243286,1.0,7.586170340800891e-06,,,,
2783,300,0.9313725233078003,2876.886843312,0.23310919106006622,95.0,1736385216.7505882,,,,,,
2783,301,,2907.029820198,,95.0,1736385246.8935065,1.0,7.321271823457209e-06,,,,
2799,302,,2911.011515597,,,1736385250.875191,,,1e-05,,,
2799,303,,2911.125356601,,96.0,1736385250.9891922,,,,7.964542419358622e-06,,
2812,304,0.9313725233078003,2914.304305776,0.24189069867134094,96.0,1736385254.168054,,,,,,
2812,305,,2943.576296098,,96.0,1736385283.440077,1.0,6.9524935497611295e-06,,,,
2841,306,0.9411764740943909,2950.69972837,0.1854822188615799,97.0,1736385290.5635056,,,,,,
2841,307,,2950.703972866,,97.0,1736385290.5678782,1.0,6.969112291699275e-06,,,,
2849,308,,2953.619613011,,,1736385293.4833283,,,1e-05,,,
2849,309,,2953.733764442,,98.0,1736385293.5976002,,,,4.447966148291016e-06,,
2870,310,0.9313725233078003,2957.863972571,0.2547575533390045,98.0,1736385297.7277048,,,,,,
2870,311,,2957.868090241,,98.0,1736385297.73199,1.0,7.042331617412856e-06,,,,
2899,312,,2963.287154399,,,1736385303.150841,,,1e-05,,,
2899,313,,2963.366457518,,99.0,1736385303.2303302,,,,8.317400897794869e-06,,
2899,314,0.9313725233078003,2965.019101728,0.2496030032634735,99.0,1736385304.882852,,,,,,
2899,315,,2995.724625571,,99.0,1736385335.5880878,1.0,6.901977030793205e-06,,,,
