trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,lr-SGD,loss/train_step,acc/test,loss/test
695,73,,618.132814617,,23.0,1736361792.1231146,0.7440087199211121,1.0432950258255005,,,,
699,74,,620.955446788,,,1736361794.9446945,,,1e-05,,,
699,75,,621.069570312,,24.0,1736361795.059422,,,,1.0071107149124146,,
724,76,0.686274528503418,626.076242583,1.1097722053527832,24.0,1736361800.0665183,,,,,,
724,77,,626.082778377,,24.0,1736361800.0730162,0.7396514415740967,1.0489623546600342,,,,
749,78,,631.464153439,,,1736361805.454418,,,1e-05,,,
749,79,,631.574618877,,25.0,1736361805.5647929,,,,1.1685742139816284,,
753,80,0.7058823704719543,634.029700134,1.121721625328064,25.0,1736361808.0200715,,,,,,
753,81,,655.75553372,,25.0,1736361829.7458541,0.7385621070861816,1.0404342412948608,,,,
782,82,0.686274528503418,663.606875931,1.1132090091705322,26.0,1736361837.5972037,,,,,,
782,83,,684.171084897,,26.0,1736361858.1612093,0.742919385433197,1.0382614135742188,,,,
799,84,,688.546132671,,,1736361862.5363498,,,1e-05,,,
799,85,,688.655510552,,27.0,1736361862.6459303,,,,1.3128012418746948,,
811,86,0.6960784196853638,692.071047238,1.101382851600647,27.0,1736361866.061372,,,,,,
811,87,,712.311073158,,27.0,1736361886.3011777,0.7450980544090271,1.021169662475586,,,,
840,88,0.7058823704719543,720.115907421,1.0868185758590698,28.0,1736361894.1062047,,,,,,
840,89,,740.48799388,,28.0,1736361914.4783597,0.7385621070861816,1.018615961074829,,,,
849,90,,743.838017902,,,1736361917.828318,,,1e-05,,,
849,91,,743.948594288,,29.0,1736361917.939011,,,,1.0457082986831665,,
869,92,0.686274528503418,748.38643759,1.102152943611145,29.0,1736361922.3764474,,,,,,
869,93,,768.296836995,,29.0,1736361942.2870276,0.7472766637802124,1.0015970468521118,,,,
898,94,0.6960784196853638,776.138311825,1.09694504737854,30.0,1736361950.1285288,,,,,,
898,95,,776.146089979,,30.0,1736361950.1365016,0.7450980544090271,1.0043302774429321,,,,
899,96,,778.505835055,,,1736361952.495256,,,1e-05,,,
899,97,,778.630768395,,31.0,1736361952.620746,,,,0.9483615756034851,,
927,98,0.686274528503418,783.970195592,1.0803313255310059,31.0,1736361957.9605608,,,,,,
927,99,,803.624771032,,31.0,1736361977.6152065,0.7549019455909729,0.9801880121231079,,,,
949,100,,808.498739217,,,1736361982.4890895,,,1e-05,,,
949,101,,808.609473743,,32.0,1736361982.599916,,,,1.409987449645996,,
956,102,0.6960784196853638,811.405213701,1.0945841073989868,32.0,1736361985.3954759,,,,,,
956,103,,811.411406721,,32.0,1736361985.401752,0.7527233362197876,0.9856225252151489,,,,
985,104,0.6764705777168274,819.007597834,1.0776243209838867,33.0,1736361992.9979832,,,,,,
985,105,,838.755453619,,33.0,1736362012.7458541,0.742919385433197,0.9731716513633728,,,,
999,106,,842.729605877,,,1736362016.7198436,,,1e-05,,,
999,107,,842.840298853,,34.0,1736362016.830568,,,,1.4309815168380737,,
1014,108,0.6666666865348816,846.537390892,1.0575103759765625,34.0,1736362020.5276058,,,,,,
1014,109,,867.178833748,,34.0,1736362041.1688395,0.7516340017318726,0.9688869118690491,,,,
1043,110,0.7058823704719543,874.786126155,1.05320143699646,35.0,1736362048.7765074,,,,,,
1043,111,,894.942804314,,35.0,1736362068.9332523,0.7483659982681274,0.9601972699165344,,,,
1049,112,,898.029942725,,,1736362072.020301,,,1e-05,,,
1049,113,,898.140602505,,36.0,1736362072.1308074,,,,0.9205806255340576,,
1072,114,0.7058823704719543,902.877085477,1.0362989902496338,36.0,1736362076.8671591,,,,,,
1072,115,,923.032360612,,36.0,1736362097.0227804,0.7603485584259033,0.9508682489395142,,,,
1099,116,,928.681826317,,,1736362102.671911,,,1e-05,,,
1099,117,,928.791687216,,37.0,1736362102.782103,,,,0.928839385509491,,
1101,118,0.7058823704719543,930.898977514,1.0616689920425415,37.0,1736362104.8890634,,,,,,
1101,119,,951.005656654,,37.0,1736362124.9960608,0.7614378929138184,0.9434480667114258,,,,
1130,120,0.7254902124404907,958.95302637,1.0138483047485352,38.0,1736362132.9433517,,,,,,
1130,121,,978.71641472,,38.0,1736362152.7067423,0.7636165618896484,0.942206621170044,,,,
1149,122,,983.368306945,,,1736362157.3586223,,,1e-05,,,
1149,123,,983.478607165,,39.0,1736362157.4690516,,,,1.193644642829895,,
1159,124,0.7352941036224365,986.662804101,1.0371750593185425,39.0,1736362160.6531868,,,,,,
1159,125,,1008.097475573,,39.0,1736362182.0877142,0.7625272274017334,0.9388594627380371,,,,
1188,126,0.7254902124404907,1015.804051716,1.0136276483535767,40.0,1736362189.794438,,,,,,
1188,127,,1036.187065234,,40.0,1736362210.177532,0.7668845057487488,0.9217947125434875,,,,
1199,128,,1039.784254114,,,1736362213.7743442,,,1e-05,,,
1199,129,,1039.89521488,,41.0,1736362213.8854842,,,,1.103075385093689,,
1217,130,0.7156862616539001,1044.044214389,1.027190089225769,41.0,1736362218.0343964,,,,,,
1217,131,,1044.051434274,,41.0,1736362218.0418751,0.7690631747245789,0.9263129234313965,,,,
1246,132,0.7156862616539001,1051.838049361,0.9841951131820679,42.0,1736362225.828392,,,,,,
1246,133,,1072.471629037,,42.0,1736362246.4618542,0.7690631747245789,0.9094555377960205,,,,
1249,134,,1075.01051148,,,1736362248.9988306,,,1e-05,,,
1249,135,,1075.127840422,,43.0,1736362249.1174638,,,,1.0464450120925903,,
1275,136,0.6960784196853638,1080.13241087,1.002694845199585,43.0,1736362254.1228123,,,,,,
1275,137,,1100.035524822,,43.0,1736362274.0258687,0.7745097875595093,0.9056212902069092,,,,
1299,138,,1105.345665317,,,1736362279.3359106,,,1e-05,,,
1299,139,,1105.462497846,,44.0,1736362279.4526222,,,,1.120029330253601,,
1304,140,0.686274528503418,1108.163937267,1.0196460485458374,44.0,1736362282.1538455,,,,,,
1304,141,,1127.371063381,,44.0,1736362301.3614812,0.7766884565353394,0.8895753026008606,,,,
1333,142,0.7156862616539001,1135.439151597,1.020175814628601,45.0,1736362309.429448,,,,,,
1333,143,,1135.445710362,,45.0,1736362309.435771,0.7734204530715942,0.8926629424095154,,,,
1349,144,,1139.666060927,,,1736362313.6560917,,,1e-05,,,
1349,145,,1139.776465435,,46.0,1736362313.7667716,,,,1.2632509469985962,,
1362,146,0.7254902124404907,1143.374728977,1.010013461112976,46.0,1736362317.3649065,,,,,,
1362,147,,1143.381851189,,46.0,1736362317.372271,0.7690631747245789,0.8951898813247681,,,,
1391,148,0.7254902124404907,1151.729337509,0.9763729572296143,47.0,1736362325.6952329,,,,,,
1391,149,,1172.997287662,,47.0,1736362346.9875124,0.7690631747245789,0.8843318223953247,,,,
1399,150,,1176.3330824,,,1736362350.3233085,,,1e-05,,,
1399,151,,1176.444395702,,48.0,1736362350.4343224,,,,0.7330878376960754,,
1420,152,0.7058823704719543,1181.125258057,0.9995850920677185,48.0,1736362355.1155388,,,,,,
1420,153,,1201.358130762,,48.0,1736362375.3485122,0.772331178188324,0.8733233213424683,,,,
1449,154,,1207.318840287,,,1736362381.308944,,,1e-05,,,
1449,155,,1207.395579595,,49.0,1736362381.3855937,,,,0.8654994368553162,,
1449,156,0.7254902124404907,1209.523536209,0.9684425592422485,49.0,1736362383.5139387,,,,,,
1449,157,,1209.528956538,,49.0,1736362383.5194728,0.7701525092124939,0.8749524354934692,,,,
1478,158,0.7450980544090271,1217.544657279,0.965836226940155,50.0,1736362391.5349417,,,,,,
1478,159,,1237.998748349,,50.0,1736362411.9891708,0.7799564003944397,0.8521962761878967,,,,
1499,160,,1243.1565813,,,1736362417.1469157,,,1e-05,,,
1499,161,,1243.26656245,,51.0,1736362417.2569559,,,,0.7728400826454163,,
1507,162,0.7352941036224365,1246.343186706,0.9518438577651978,51.0,1736362420.333537,,,,,,
1507,163,,1246.351385247,,51.0,1736362420.3416193,0.7745097875595093,0.8550116419792175,,,,
1536,164,0.7352941036224365,1254.51959573,0.9712717533111572,52.0,1736362428.5098822,,,,,,
1536,165,,1274.601218886,,52.0,1736362448.5914202,0.7810457348823547,0.8517491221427917,,,,
1549,166,,1278.807059096,,,1736362452.7970827,,,1e-05,,,
1549,167,,1278.918080486,,53.0,1736362452.9082484,,,,0.5723888278007507,,
1565,168,0.7549019455909729,1282.985742674,0.9413613677024841,53.0,1736362456.975962,,,,,,
1565,169,,1303.467332587,,53.0,1736362477.457692,0.7875816822052002,0.8436182141304016,,,,
1594,170,0.7254902124404907,1311.758449523,0.98740553855896,54.0,1736362485.7488277,,,,,,
1594,171,,1332.254781212,,54.0,1736362506.244769,0.7843137383460999,0.8377077579498291,,,,
1599,172,,1335.520676949,,,1736362509.5103354,,,1e-05,,,
1599,173,,1335.630925057,,55.0,1736362509.6210008,,,,1.4432841539382935,,
1623,174,0.7450980544090271,1340.600274767,0.9669865369796753,55.0,1736362514.590245,,,,,,
1623,175,,1340.60830373,,55.0,1736362514.5985796,0.7897603511810303,0.8397305011749268,,,,
1649,176,,1346.23350237,,,1736362520.2235422,,,1e-05,,,
1649,177,,1346.34327708,,56.0,1736362520.3336914,,,,0.7115685939788818,,
1652,178,0.7352941036224365,1348.80349116,0.9386333227157593,56.0,1736362522.7937102,,,,,,
1652,179,,1368.83346811,,56.0,1736362542.8235114,0.7930282950401306,0.83348548412323,,,,
1681,180,0.7156862616539001,1377.054411853,0.9629143476486206,57.0,1736362551.0447922,,,,,,
1681,181,,1396.588083414,,57.0,1736362570.5784824,0.7908496856689453,0.8165161609649658,,,,
1699,182,,1401.140865698,,,1736362575.1311781,,,1e-05,,,
1699,183,,1401.251110178,,58.0,1736362575.241219,,,,0.8623168468475342,,
1710,184,0.7352941036224365,1404.830437771,0.9313803315162659,58.0,1736362578.820771,,,,,,
1710,185,,1425.135356741,,58.0,1736362599.1255324,0.7908496856689453,0.8129456043243408,,,,
1739,186,0.7450980544090271,1433.054177136,0.9287350177764893,59.0,1736362607.044471,,,,,,
1739,187,,1453.378893805,,59.0,1736362627.369295,0.7962962985038757,0.80804443359375,,,,
1749,188,,1457.037359541,,,1736362631.0276556,,,1e-05,,,
1749,189,,1457.146775244,,60.0,1736362631.137192,,,,0.8693527579307556,,
1768,190,0.7549019455909729,1461.483552245,0.927209198474884,60.0,1736362635.4739583,,,,,,
1768,191,,1481.370018955,,60.0,1736362655.3604414,0.7962962985038757,0.8017711639404297,,,,
1797,192,0.7352941036224365,1489.591016211,0.9559203386306763,61.0,1736362663.5812259,,,,,,
1797,193,,1509.589725951,,61.0,1736362683.5800123,0.7984749674797058,0.7921102643013,,,,
1799,194,,1512.468227958,,,1736362686.4573886,,,1e-05,,,
1799,195,,1512.587628641,,62.0,1736362686.5777879,,,,1.0234137773513794,,
1826,196,0.7450980544090271,1517.950643432,0.9095461368560791,62.0,1736362691.9410658,,,,,,
1826,197,,1537.63483631,,62.0,1736362711.6252706,0.7984749674797058,0.7920042276382446,,,,
1849,198,,1542.787611312,,,1736362716.7778554,,,1e-05,,,
1849,199,,1542.899973515,,63.0,1736362716.890096,,,,0.7949515581130981,,
1855,200,0.7549019455909729,1545.71187759,0.9367810487747192,63.0,1736362719.7022893,,,,,,
1855,201,,1567.295584033,,63.0,1736362741.2860346,0.7886710166931152,0.7835056781768799,,,,
1884,202,0.7254902124404907,1575.398052971,0.9310303330421448,64.0,1736362749.3882453,,,,,,
1884,203,,1575.408406627,,64.0,1736362749.3985758,0.7952069640159607,0.7860639095306396,,,,
1899,204,,1579.727073044,,,1736362753.7171743,,,1e-05,,,
1899,205,,1579.837157615,,65.0,1736362753.8275943,,,,0.8290255665779114,,
1913,206,0.7549019455909729,1583.661595052,0.9192053079605103,65.0,1736362757.651503,,,,,,
1913,207,,1602.899499678,,65.0,1736362776.8898234,0.8017429113388062,0.776843249797821,,,,
1942,208,0.7352941036224365,1610.900932669,0.8963418006896973,66.0,1736362784.8913267,,,,,,
1942,209,,1610.905971386,,66.0,1736362784.8964963,0.8006535768508911,0.7806057333946228,,,,
1949,210,,1614.161644522,,,1736362788.1517487,,,1e-05,,,
1949,211,,1614.274679228,,67.0,1736362788.2650692,,,,0.6728537082672119,,
1971,212,0.7549019455909729,1618.933460077,0.893279492855072,67.0,1736362792.9233775,,,,,,
1971,213,,1639.808343194,,67.0,1736362813.7987366,0.8006535768508911,0.7618252038955688,,,,
1999,214,,1645.583628177,,,1736362819.5738852,,,1e-05,,,
1999,215,,1645.693308266,,68.0,1736362819.6836183,,,,0.5819436311721802,,
2000,216,0.7647058963775635,1647.926017673,0.90477454662323,68.0,1736362821.9164395,,,,,,
2000,217,,1647.930686613,,68.0,1736362821.9212275,0.8017429113388062,0.7653974890708923,,,,
2029,218,0.7549019455909729,1656.084014506,0.8714801073074341,69.0,1736362830.07437,,,,,,
2029,219,,1675.69981287,,69.0,1736362849.6902354,0.8071895241737366,0.7502926588058472,,,,
2049,220,,1680.55438946,,,1736362854.544558,,,1e-05,,,
2049,221,,1680.664272783,,70.0,1736362854.654482,,,,0.6599869132041931,,
2058,222,0.7352941036224365,1683.885997179,0.9107167720794678,70.0,1736362857.8763492,,,,,,
2058,223,,1703.747699042,,70.0,1736362877.7381084,0.8082788586616516,0.7464575171470642,,,,
2087,224,0.7352941036224365,1711.89958102,0.9007924199104309,71.0,1736362885.8899212,,,,,,
2087,225,,1731.421644737,,71.0,1736362905.4119644,0.8071895241737366,0.7430804371833801,,,,
2099,226,,1735.58707862,,,1736362909.5773695,,,1e-05,,,
2099,227,,1735.696982921,,72.0,1736362909.6873558,,,,0.9320054054260254,,
2116,228,0.7745097875595093,1739.818894966,0.8826660513877869,72.0,1736362913.8092096,,,,,,
2116,229,,1759.87287341,,72.0,1736362933.86319,0.8017429113388062,0.7274580001831055,,,,
2145,230,0.7745097875595093,1768.165476588,0.876350998878479,73.0,1736362942.1557214,,,,,,
2145,231,,1768.173811915,,73.0,1736362942.1642728,0.8071895241737366,0.7438939809799194,,,,
2149,232,,1770.951606916,,,1736362944.940772,,,1e-05,,,
2149,233,,1771.068190357,,74.0,1736362945.055933,,,,0.6111133694648743,,
2174,234,0.7647058963775635,1776.265899821,0.8873457312583923,74.0,1736362950.2560847,,,,,,
2174,235,,1776.273677249,,74.0,1736362950.2637794,0.8028322458267212,0.733776330947876,,,,
2199,236,,1781.581537364,,,1736362955.5718665,,,1e-05,,,
2199,237,,1781.692477541,,75.0,1736362955.6828341,,,,0.6622166037559509,,
2203,238,0.7549019455909729,1784.299795791,0.8427954912185669,75.0,1736362958.29008,,,,,,
2203,239,,1804.018169032,,75.0,1736362978.008362,0.8061001896858215,0.7255346179008484,,,,
2232,240,0.7549019455909729,1812.033228724,0.8369616866111755,76.0,1736362986.0236816,,,,,,
2232,241,,1812.037586754,,76.0,1736362986.0281198,0.8093681931495667,0.7261548042297363,,,,
2249,242,,1816.440657799,,,1736362990.4308634,,,1e-05,,,
2249,243,,1816.550699625,,77.0,1736362990.5411239,,,,0.5033617615699768,,
2261,244,0.7745097875595093,1820.135875983,0.8981776237487793,77.0,1736362994.1262803,,,,,,
2261,245,,1839.882544323,,77.0,1736363013.8729916,0.8191720843315125,0.7099425792694092,,,,
2290,246,0.7254902124404907,1847.961825287,0.8618037700653076,78.0,1736363021.9521267,,,,,,
2290,247,,1868.246049934,,78.0,1736363042.2362938,0.8213507533073425,0.6979078054428101,,,,
2299,248,,1871.698998967,,,1736363045.6890764,,,1e-05,,,
2299,249,,1871.809232031,,79.0,1736363045.7994926,,,,0.39964616298675537,,
2319,250,0.7549019455909729,1876.391804185,0.8538031578063965,79.0,1736363050.3817976,,,,,,
2319,251,,1876.39936378,,79.0,1736363050.3896646,0.8148148059844971,0.7081695795059204,,,,
2348,252,0.7647058963775635,1884.53292321,0.8747051358222961,80.0,1736363058.5232632,,,,,,
2348,253,,1905.204589462,,80.0,1736363079.1949906,0.8202614188194275,0.6968551874160767,,,,
2349,254,,1907.709447081,,,1736363081.699269,,,1e-05,,,
2349,255,,1907.842306158,,81.0,1736363081.8286755,,,,0.4792235791683197,,
2377,256,0.7549019455909729,1913.280514233,0.8390339612960815,81.0,1736363087.2705524,,,,,,
2377,257,,1933.602728976,,81.0,1736363107.5931206,0.8191720843315125,0.6955583095550537,,,,
2399,258,,1938.760888584,,,1736363112.7512207,,,1e-05,,,
2399,259,,1938.870285753,,82.0,1736363112.8605852,,,,0.502653956413269,,
2406,260,0.7549019455909729,1941.796045876,0.8624948263168335,82.0,1736363115.78604,,,,,,
2406,261,,1962.455510983,,82.0,1736363136.4458878,0.8104575276374817,0.6872534155845642,,,,
2435,262,0.7549019455909729,1970.640142655,0.8919458389282227,83.0,1736363144.630389,,,,,,
2435,263,,1970.648243103,,83.0,1736363144.638486,0.826797366142273,0.6879403591156006,,,,
2449,264,,1974.689777132,,,1736363148.6798837,,,1e-05,,,
2449,265,,1974.801642011,,84.0,1736363148.7918434,,,,0.44697603583335876,,
2464,266,0.7450980544090271,1978.72340892,0.8268772959709167,84.0,1736363152.713749,,,,,,
2464,267,,1998.708988835,,84.0,1736363172.699457,0.8235294222831726,0.6770107746124268,,,,
2493,268,0.7647058963775635,2006.667159094,0.7799770832061768,85.0,1736363180.6574712,,,,,,
2493,269,,2027.085093252,,85.0,1736363201.0752192,0.826797366142273,0.6739022135734558,,,,
2499,270,,2030.522698515,,,1736363204.5116625,,,1e-05,,,
2499,271,,2030.634575322,,86.0,1736363204.6244814,,,,0.6492217779159546,,
2522,272,0.7450980544090271,2035.467876234,0.8340997099876404,86.0,1736363209.4582338,,,,,,
2522,273,,2056.003049243,,86.0,1736363229.993486,0.8322439789772034,0.6648389101028442,,,,
2549,274,,2061.683195995,,,1736363235.673482,,,1e-05,,,
2549,275,,2061.792886864,,87.0,1736363235.7830958,,,,0.5940737128257751,,
2551,276,0.7647058963775635,2064.150156608,0.8225911259651184,87.0,1736363238.1405396,,,,,,
2551,277,,2064.155514,,87.0,1736363238.1460176,0.8333333134651184,0.6710682511329651,,,,
2580,278,0.7549019455909729,2072.320347183,0.8407953381538391,88.0,1736363246.2955694,,,,,,
2580,279,,2092.49924593,,88.0,1736363266.489718,0.828976035118103,0.6528767943382263,,,,
2599,280,,2097.41301834,,,1736363271.403297,,,1e-05,,,
2599,281,,2097.522985995,,89.0,1736363271.5133789,,,,0.6461820006370544,,
2609,282,0.7549019455909729,2100.859810844,0.8289402723312378,89.0,1736363274.850147,,,,,,
2609,283,,2121.283268188,,89.0,1736363295.2736654,0.8344226479530334,0.6526216268539429,,,,
2638,284,0.7647058963775635,2129.641861691,0.8350481986999512,90.0,1736363303.632223,,,,,,
2638,285,,2129.647983969,,90.0,1736363303.638312,0.8366013169288635,0.6569013595581055,,,,
2649,286,,2133.540561181,,,1736363307.530801,,,1e-05,,,
2649,287,,2133.651242154,,91.0,1736363307.6416078,,,,0.6108981966972351,,
2667,288,0.7450980544090271,2137.917060625,0.8379389643669128,91.0,1736363311.9075134,,,,,,
2667,289,,2158.475570566,,91.0,1736363332.4655998,0.8387799859046936,0.6488906145095825,,,,
2696,290,0.7647058963775635,2166.396126834,0.8364622592926025,92.0,1736363340.3864422,,,,,,
2696,291,,2187.083721594,,92.0,1736363361.0737693,0.8366013169288635,0.6382585763931274,,,,
2699,292,,2189.748594815,,,1736363363.7383518,,,1e-05,,,
2699,293,,2189.866012722,,93.0,1736363363.8550866,,,,0.5554823279380798,,
2725,294,0.7843137383460999,2195.049387161,0.8426341414451599,93.0,1736363369.039666,,,,,,
2725,295,,2214.332965732,,93.0,1736363388.3231142,0.8355119824409485,0.636127769947052,,,,
2749,296,,2219.653401275,,,1736363393.6436596,,,1e-05,,,
2749,297,,2219.762729632,,94.0,1736363393.7531025,,,,0.59345942735672,,
2754,298,0.7745097875595093,2222.420063481,0.8192561268806458,94.0,1736363396.410389,,,,,,
2754,299,,2222.426658214,,94.0,1736363396.4169707,0.8333333134651184,0.6383426785469055,,,,
2783,300,0.7843137383460999,2230.633151418,0.8012803792953491,95.0,1736363404.623384,,,,,,
2783,301,,2250.30101775,,95.0,1736363424.2914605,0.8474945425987244,0.6290496587753296,,,,
2799,302,,2254.587969266,,,1736363428.5782633,,,1e-05,,,
2799,303,,2254.698360609,,96.0,1736363428.688795,,,,0.9309623837471008,,
2812,304,0.7647058963775635,2258.252980336,0.824578583240509,96.0,1736363432.243408,,,,,,
2812,305,,2277.782448309,,96.0,1736363451.7727168,0.8387799859046936,0.6222950220108032,,,,
2841,306,0.7745097875595093,2285.630405961,0.7902955412864685,97.0,1736363459.6207583,,,,,,
2841,307,,2285.637622862,,97.0,1736363459.628007,0.8453159332275391,0.6226919889450073,,,,
2849,308,,2289.037268083,,,1736363463.0273807,,,1e-05,,,
2849,309,,2289.14898078,,98.0,1736363463.139376,,,,0.74919593334198,,
2870,310,0.7843137383460999,2293.677939858,0.8279669284820557,98.0,1736363467.6681514,,,,,,
2870,311,,2314.166673014,,98.0,1736363488.1571026,0.8485838770866394,0.6107528209686279,,,,
2899,312,,2319.979103686,,,1736363493.9694648,,,1e-05,,,
2899,313,,2320.052746285,,99.0,1736363494.0432615,,,,0.5041916370391846,,
2899,314,0.7843137383460999,2322.316817409,0.8113130927085876,99.0,1736363496.307137,,,,,,
