trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,acc/test,loss/test
28,0,0.656862735748291,34.090743581,1.3793516159057617,0,1736343006.826873,,,,
28,1,,64.143176959,,0,1736343036.8795946,0.6906318068504333,1.282823920249939,,
29,2,,68.983026438,,1,1736343041.7192674,,,0.6666666865348816,1.3514312505722046
