trainer/global_step,_step,acc/val,_runtime,loss/val,epoch,_timestamp,acc/train_epoch,loss/train_epoch,acc/test,loss/test
28,0,0.8333333134651184,33.04895927,0.48138415813446045,0,1736347743.0491266,,,,
28,1,,65.539820558,,0,1736347775.5119839,0.7440087199211121,0.9804144501686096,,
29,2,,70.062479161,,1,1736347780.062729,,,0.813725471496582,0.48595359921455383
